descriptor	name	description	type
Autocorrelation	ATSC6e	Centered Broto-Moreau autocorrelation - lag 6 / weighted by Sanderson electronegativities	2D
Autocorrelation	ATSC7e	Centered Broto-Moreau autocorrelation - lag 7 / weighted by Sanderson electronegativities	2D
Autocorrelation	ATSC8e	Centered Broto-Moreau autocorrelation - lag 8 / weighted by Sanderson electronegativities	2D
Autocorrelation	ATSC0p	Centered Broto-Moreau autocorrelation - lag 0 / weighted by polarizabilities	2D
Autocorrelation	ATSC1p	Centered Broto-Moreau autocorrelation - lag 1 / weighted by polarizabilities	2D
Autocorrelation	ATSC2p	Centered Broto-Moreau autocorrelation - lag 2 / weighted by polarizabilities	2D
Autocorrelation	ATSC3p	Centered Broto-Moreau autocorrelation - lag 3 / weighted by polarizabilities	2D
Autocorrelation	ATSC4p	Centered Broto-Moreau autocorrelation - lag 4 / weighted by polarizabilities	2D
Autocorrelation	ATSC5p	Centered Broto-Moreau autocorrelation - lag 5 / weighted by polarizabilities	2D
Autocorrelation	ATSC6p	Centered Broto-Moreau autocorrelation - lag 6 / weighted by polarizabilities	2D
Autocorrelation	ATSC7p	Centered Broto-Moreau autocorrelation - lag 7 / weighted by polarizabilities	2D
Autocorrelation	ATSC8p	Centered Broto-Moreau autocorrelation - lag 8 / weighted by polarizabilities	2D
Autocorrelation	ATSC0i	Centered Broto-Moreau autocorrelation - lag 0 / weighted by first ionization potential	2D
Autocorrelation	ATSC1i	Centered Broto-Moreau autocorrelation - lag 1 / weighted by first ionization potential	2D
Autocorrelation	ATSC2i	Centered Broto-Moreau autocorrelation - lag 2 / weighted by first ionization potential	2D
Autocorrelation	ATSC3i	Centered Broto-Moreau autocorrelation - lag 3 / weighted by first ionization potential	2D
Autocorrelation	ATSC4i	Centered Broto-Moreau autocorrelation - lag 4 / weighted by first ionization potential	2D
Autocorrelation	ATSC5i	Centered Broto-Moreau autocorrelation - lag 5 / weighted by first ionization potential	2D
Autocorrelation	ATSC6i	Centered Broto-Moreau autocorrelation - lag 6 / weighted by first ionization potential	2D
Autocorrelation	ATSC7i	Centered Broto-Moreau autocorrelation - lag 7 / weighted by first ionization potential	2D
Autocorrelation	ATSC8i	Centered Broto-Moreau autocorrelation - lag 8 / weighted by first ionization potential	2D
Autocorrelation	ATSC0s	Centered Broto-Moreau autocorrelation - lag 0 / weighted by I-state	2D
Autocorrelation	ATSC1s	Centered Broto-Moreau autocorrelation - lag 1 / weighted by I-state	2D
Autocorrelation	ATSC2s	Centered Broto-Moreau autocorrelation - lag 2 / weighted by I-state	2D
Autocorrelation	ATSC3s	Centered Broto-Moreau autocorrelation - lag 3 / weighted by I-state	2D
Autocorrelation	ATSC4s	Centered Broto-Moreau autocorrelation - lag 4 / weighted by I-state	2D
Autocorrelation	ATSC5s	Centered Broto-Moreau autocorrelation - lag 5 / weighted by I-state	2D
Autocorrelation	ATSC6s	Centered Broto-Moreau autocorrelation - lag 6 / weighted by I-state	2D
Autocorrelation	ATSC7s	Centered Broto-Moreau autocorrelation - lag 7 / weighted by I-state	2D
Autocorrelation	ATSC8s	Centered Broto-Moreau autocorrelation - lag 8 / weighted by I-state	2D
Autocorrelation	AATSC0c	Average centered Broto-Moreau autocorrelation - lag 0 / weighted by charges	2D
Autocorrelation	AATSC1c	Average centered Broto-Moreau autocorrelation - lag 1 / weighted by charges	2D
Autocorrelation	AATSC2c	Average centered Broto-Moreau autocorrelation - lag 2 / weighted by charges	2D
Autocorrelation	AATSC3c	Average centered Broto-Moreau autocorrelation - lag 3 / weighted by charges	2D
Autocorrelation	AATSC4c	Average centered Broto-Moreau autocorrelation - lag 4 / weighted by charges	2D
Autocorrelation	AATSC5c	Average centered Broto-Moreau autocorrelation - lag 5 / weighted by charges	2D
Autocorrelation	AATSC6c	Average centered Broto-Moreau autocorrelation - lag 6 / weighted by charges	2D
Autocorrelation	AATSC7c	Average centered Broto-Moreau autocorrelation - lag 7 / weighted by charges	2D
Autocorrelation	AATSC8c	Average centered Broto-Moreau autocorrelation - lag 8 / weighted by charges	2D
Autocorrelation	AATSC0m	Average centered Broto-Moreau autocorrelation - lag 0 / weighted by mass	2D
Autocorrelation	AATSC1m	Average centered Broto-Moreau autocorrelation - lag 1 / weighted by mass	2D
Autocorrelation	AATSC2m	Average centered Broto-Moreau autocorrelation - lag 2 / weighted by mass	2D
Autocorrelation	AATSC3m	Average centered Broto-Moreau autocorrelation - lag 3 / weighted by mass	2D
Autocorrelation	AATSC4m	Average centered Broto-Moreau autocorrelation - lag 4 / weighted by mass	2D
Autocorrelation	AATSC5m	Average centered Broto-Moreau autocorrelation - lag 5 / weighted by mass	2D
Autocorrelation	AATSC6m	Average centered Broto-Moreau autocorrelation - lag 6 / weighted by mass	2D
Autocorrelation	AATSC7m	Average centered Broto-Moreau autocorrelation - lag 7 / weighted by mass	2D
Autocorrelation	AATSC8m	Average centered Broto-Moreau autocorrelation - lag 8 / weighted by mass	2D
Autocorrelation	AATSC0v	Average centered Broto-Moreau autocorrelation - lag 0 / weighted by van der Waals volumes	2D
Autocorrelation	AATSC1v	Average centered Broto-Moreau autocorrelation - lag 1 / weighted by van der Waals volumes	2D
Autocorrelation	AATSC2v	Average centered Broto-Moreau autocorrelation - lag 2 / weighted by van der Waals volumes	2D
Autocorrelation	AATSC3v	Average centered Broto-Moreau autocorrelation - lag 3 / weighted by van der Waals volumes	2D
Autocorrelation	AATSC4v	Average centered Broto-Moreau autocorrelation - lag 4 / weighted by van der Waals volumes	2D
Autocorrelation	AATSC5v	Average centered Broto-Moreau autocorrelation - lag 5 / weighted by van der Waals volumes	2D
Autocorrelation	AATSC6v	Average centered Broto-Moreau autocorrelation - lag 6 / weighted by van der Waals volumes	2D
Autocorrelation	AATSC7v	Average centered Broto-Moreau autocorrelation - lag 7 / weighted by van der Waals volumes	2D
Autocorrelation	AATSC8v	Average centered Broto-Moreau autocorrelation - lag 8 / weighted by van der Waals volumes	2D
Autocorrelation	AATSC0e	Average centered Broto-Moreau autocorrelation - lag 0 / weighted by Sanderson electronegativities	2D
Autocorrelation	AATSC1e	Average centered Broto-Moreau autocorrelation - lag 1 / weighted by Sanderson electronegativities	2D
Autocorrelation	AATSC2e	Average centered Broto-Moreau autocorrelation - lag 2 / weighted by Sanderson electronegativities	2D
Autocorrelation	AATSC3e	Average centered Broto-Moreau autocorrelation - lag 3 / weighted by Sanderson electronegativities	2D
Autocorrelation	AATSC4e	Average centered Broto-Moreau autocorrelation - lag 4 / weighted by Sanderson electronegativities	2D
Autocorrelation	AATSC5e	Average centered Broto-Moreau autocorrelation - lag 5 / weighted by Sanderson electronegativities	2D
Autocorrelation	AATSC6e	Average centered Broto-Moreau autocorrelation - lag 6 / weighted by Sanderson electronegativities	2D
Autocorrelation	AATSC7e	Average centered Broto-Moreau autocorrelation - lag 7 / weighted by Sanderson electronegativities	2D
Autocorrelation	AATSC8e	Average centered Broto-Moreau autocorrelation - lag 8 / weighted by Sanderson electronegativities	2D
Autocorrelation	AATSC0p	Average centered Broto-Moreau autocorrelation - lag 0 / weighted by polarizabilities	2D
Autocorrelation	AATSC1p	Average centered Broto-Moreau autocorrelation - lag 1 / weighted by polarizabilities	2D
Autocorrelation	AATSC2p	Average centered Broto-Moreau autocorrelation - lag 2 / weighted by polarizabilities	2D
Autocorrelation	AATSC3p	Average centered Broto-Moreau autocorrelation - lag 3 / weighted by polarizabilities	2D
Autocorrelation	AATSC4p	Average centered Broto-Moreau autocorrelation - lag 4 / weighted by polarizabilities	2D
Autocorrelation	AATSC5p	Average centered Broto-Moreau autocorrelation - lag 5 / weighted by polarizabilities	2D
Autocorrelation	AATSC6p	Average centered Broto-Moreau autocorrelation - lag 6 / weighted by polarizabilities	2D
Autocorrelation	AATSC7p	Average centered Broto-Moreau autocorrelation - lag 7 / weighted by polarizabilities	2D
Autocorrelation	AATSC8p	Average centered Broto-Moreau autocorrelation - lag 8 / weighted by polarizabilities	2D
Autocorrelation	AATSC0i	Average centered Broto-Moreau autocorrelation - lag 0 / weighted by first ionization potential	2D
Autocorrelation	AATSC1i	Average centered Broto-Moreau autocorrelation - lag 1 / weighted by first ionization potential	2D
Autocorrelation	AATSC2i	Average centered Broto-Moreau autocorrelation - lag 2 / weighted by first ionization potential	2D
Autocorrelation	AATSC3i	Average centered Broto-Moreau autocorrelation - lag 3 / weighted by first ionization potential	2D
Autocorrelation	AATSC4i	Average centered Broto-Moreau autocorrelation - lag 4 / weighted by first ionization potential	2D
Autocorrelation	AATSC5i	Average centered Broto-Moreau autocorrelation - lag 5 / weighted by first ionization potential	2D
Autocorrelation	AATSC6i	Average centered Broto-Moreau autocorrelation - lag 6 / weighted by first ionization potential	2D
Autocorrelation	AATSC7i	Average centered Broto-Moreau autocorrelation - lag 7 / weighted by first ionization potential	2D
Autocorrelation	AATSC8i	Average centered Broto-Moreau autocorrelation - lag 8 / weighted by first ionization potential	2D
Autocorrelation	AATSC0s	Average centered Broto-Moreau autocorrelation - lag 0 / weighted by I-state	2D
Autocorrelation	AATSC1s	Average centered Broto-Moreau autocorrelation - lag 1 / weighted by I-state	2D
Autocorrelation	AATSC2s	Average centered Broto-Moreau autocorrelation - lag 2 / weighted by I-state	2D
Autocorrelation	AATSC3s	Average centered Broto-Moreau autocorrelation - lag 3 / weighted by I-state	2D
Autocorrelation	AATSC4s	Average centered Broto-Moreau autocorrelation - lag 4 / weighted by I-state	2D
Autocorrelation	AATSC5s	Average centered Broto-Moreau autocorrelation - lag 5 / weighted by I-state	2D
Autocorrelation	AATSC6s	Average centered Broto-Moreau autocorrelation - lag 6 / weighted by I-state	2D
Autocorrelation	AATSC7s	Average centered Broto-Moreau autocorrelation - lag 7 / weighted by I-state	2D
Autocorrelation	AATSC8s	Average centered Broto-Moreau autocorrelation - lag 8 / weighted by I-state	2D
Autocorrelation	MATS1c	Moran autocorrelation - lag 1 / weighted by charges	2D
Autocorrelation	MATS2c	Moran autocorrelation - lag 2 / weighted by charges	2D
Autocorrelation	MATS3c	Moran autocorrelation - lag 3 / weighted by charges	2D
Autocorrelation	MATS4c	Moran autocorrelation - lag 4 / weighted by charges	2D
Autocorrelation	MATS5c	Moran autocorrelation - lag 5 / weighted by charges	2D
Autocorrelation	MATS6c	Moran autocorrelation - lag 6 / weighted by charges	2D
Autocorrelation	MATS7c	Moran autocorrelation - lag 7 / weighted by charges	2D
Autocorrelation	MATS8c	Moran autocorrelation - lag 8 / weighted by charges	2D
Autocorrelation	MATS1m	Moran autocorrelation - lag 1 / weighted by mass	2D
Autocorrelation	MATS2m	Moran autocorrelation - lag 2 / weighted by mass	2D
Autocorrelation	MATS3m	Moran autocorrelation - lag 3 / weighted by mass	2D
Autocorrelation	MATS4m	Moran autocorrelation - lag 4 / weighted by mass	2D
Autocorrelation	MATS5m	Moran autocorrelation - lag 5 / weighted by mass	2D
Autocorrelation	MATS6m	Moran autocorrelation - lag 6 / weighted by mass	2D
Autocorrelation	MATS7m	Moran autocorrelation - lag 7 / weighted by mass	2D
Autocorrelation	MATS8m	Moran autocorrelation - lag 8 / weighted by mass	2D
Autocorrelation	MATS1v	Moran autocorrelation - lag 1 / weighted by van der Waals volumes	2D
Autocorrelation	MATS2v	Moran autocorrelation - lag 2 / weighted by van der Waals volumes	2D
Autocorrelation	MATS3v	Moran autocorrelation - lag 3 / weighted by van der Waals volumes	2D
Autocorrelation	MATS4v	Moran autocorrelation - lag 4 / weighted by van der Waals volumes	2D
Autocorrelation	MATS5v	Moran autocorrelation - lag 5 / weighted by van der Waals volumes	2D
Autocorrelation	MATS6v	Moran autocorrelation - lag 6 / weighted by van der Waals volumes	2D
Autocorrelation	MATS7v	Moran autocorrelation - lag 7 / weighted by van der Waals volumes	2D
Autocorrelation	MATS8v	Moran autocorrelation - lag 8 / weighted by van der Waals volumes	2D
Autocorrelation	MATS1e	Moran autocorrelation - lag 1 / weighted by Sanderson electronegativities	2D
Autocorrelation	MATS2e	Moran autocorrelation - lag 2 / weighted by Sanderson electronegativities	2D
Autocorrelation	MATS3e	Moran autocorrelation - lag 3 / weighted by Sanderson electronegativities	2D
Autocorrelation	MATS4e	Moran autocorrelation - lag 4 / weighted by Sanderson electronegativities	2D
Autocorrelation	MATS5e	Moran autocorrelation - lag 5 / weighted by Sanderson electronegativities	2D
